encode_time;decode_time;peak_enc_mem;peak_dec_mem;peak_delta_enc;peak_delta_dec;param_name;layer_type;shape;numel;bits_quant;raw_bytes;qstep;mse_quant;nmse_quant;mse_post;nmse_post;compressed_bytes;compression_ratio;compression_gain_pct;bits_per_element;decoded_equal
0,00023643999993506;5.751999997301027e-05;780389580,8;780389580,8;19660,8;19660,8;features.4.1.block.1.1.bias;bias;(480,);480;8;480;0,0329856145603008;8.872034231899306e-05;9.937879233775638e-05;8.872034231899306e-05;9.937879233775638e-05;442;1,085972850678733;7,916666666666661;7,366666666666666;True
0,00034199999936386;0,00011507999988679126;780389580,8;780389580,8;19660,8;19660,8;features.4.1.block.1.1.bias;bias;(480,);480;16;960;0,0001288118404948;1.1727573356878904e-09;1.3136469571641538e-09;1.1727573356878904e-09;1.3136469571641538e-09;941;1,0201912858661;1,9791666666666765;15,683333333333334;True
0,00024225999986806002;5.444000016723294e-05;780390400,0;780388761,6;20480,0;18841,6;features.4.1.block.1.1.weight;weight;(480,);480;8;480;0,0396319273468531;0,0001266896142624;0,0002237714121006;0,0001266896142624;0,0002237714121006;397;1,2090680100755669;17,29166666666667;6,616666666666666;True
0,00039471999989468005;0,00010600000023257465;780388761,6;780387942,4;18841,6;18022,4;features.4.1.block.1.1.weight;weight;(480,);480;16;960;0,0001552819293865;1.834318030802251e-09;3.239949370625008e-09;1.834318030802251e-09;3.239949370625008e-09;893;1,0750279955207167;6,97916666666667;14,883333333333333;True
3.075999993598089e-05;1.7800000205170363e-05;780376473,6;780375654,4;7372,8;18841,6;features.4.1.block.2.fc1.bias;bias;(20,);20;8;20;0,0174985201682505;1.8004684534389526e-05;5.461701745238503e-05;1.8004684534389526e-05;5.461701745238503e-05;22;0,9090909090909092;-10.000000000000009;8,8;True
3.332000014779624e-05;1.221999955305364e-05;780377292,8;780377292,8;13107,2;20480,0;features.4.1.block.2.fc1.bias;bias;(20,);20;16;40;6.871069750923948e-05;2.6814844789058156e-10;8.134254410454422e-10;2.6814844789058156e-10;8.134254410454422e-10;42;0,9523809523809524;-5.000000000000004;16,8;True
0,00209011999977516;0,00058005999999292;780388761,6;780376473,6;18841,6;19660,8;features.4.1.block.2.fc1.weight;weight;(20, 480, 1, 1);9600;8;9600;0,0105924080103753;9.813856195250992e-06;0,0009535478698368;9.813856195250992e-06;0,0009535478698368;6118;1,5691402419091207;36,27083333333334;5,098333333333334;True
0,0058992400008719;0,00152572000006326;780377292,8;780375654,4;20480,0;18841,6;features.4.1.block.2.fc1.weight;weight;(20, 480, 1, 1);9600;16;19200;4.3166580329484486e-05;1.529399246136265e-10;1.4860166730271631e-08;1.529399246136265e-10;1.4860166730271631e-08;15800;1,2151898734177216;17,708333333333336;13,166666666666666;True
0,0001742000007652;6.873999991511889e-05;780376473,6;780376473,6;19660,8;19660,8;features.4.1.block.2.fc2.bias;bias;(480,);480;8;480;0,0277591859488798;6.052737444406375e-05;7.9376981332256e-05;6.052737444406375e-05;7.9376981332256e-05;444;1,0810810810810811;7,500000000000007;7,4;True
0,00041570000030328;0,00012857999972764879;780377292,8;780377292,8;20480,0;20480,0;features.4.1.block.2.fc2.bias;bias;(480,);480;16;960;0,0001081547324404;8.76144212735852e-10;1.1489955323102336e-09;8.76144212735852e-10;1.1489955323102336e-09;941;1,0201912858661;1,9791666666666765;15,683333333333334;True
0,00239237999958272;0,00068882000050504;780377292,8;780376473,6;20480,0;19660,8;features.4.1.block.2.fc2.weight;weight;(480, 20, 1, 1);9600;8;9600;0,0090432683905983;7.077761893015122e-06;0,000516576739993;7.077761893015122e-06;0,000516576739993;6641;1,44556542689354;30,822916666666668;5,534166666666667;True
0,00602818000006658;0,00157905999985808;780374835,2;780374835,2;18022,4;18022,4;features.4.1.block.2.fc2.weight;weight;(480, 20, 1, 1);9600;16;19200;3.682439797501042e-05;1.1045724057634487e-10;8.061819839102284e-09;1.1045724057634487e-10;8.061819839102284e-09;16297;1,1781309443455852;15,119791666666671;13,580833333333333;True
0,01194941999965516;0,00321774000003638;780376473,6;780376473,6;19660,8;19660,8;features.4.1.block.3.0.weight;weight;(80, 480, 1, 1);38400;8;38400;0,00390625;1.2762916412611958e-06;0,0002029589595188;2.7378664526622742e-06;0,0004353820933786;31086;1,2352827639451844;19,046875000000007;6,47625;True
0,0136360199998307;0,0035121999997499596;780376473,6;780374016,0;19660,8;17203,2;features.4.1.block.3.0.weight;weight;(80, 480, 1, 1);38400;16;76800;0,00390625;1.2762916412611958e-06;0,0002029589595188;1.2762916412611958e-06;0,0002029589595188;31106;2,4689770462290235;59,497395833333336;6,480416666666667;True
7.139999943319171e-05;3.578000032575801e-05;780376473,6;780377292,8;7372,8;20480,0;features.4.1.block.3.1.bias;bias;(80,);80;8;80;0,0237565831835725;4.052650547237136e-05;6.888333036005057e-05;4.052650547237136e-05;6.888333036005057e-05;82;0,975609756097561;-2.5000000000000133;8,2;True
7.358000002568587e-05;3.470000010565855e-05;780377292,8;780377292,8;9011,2;20480,0;features.4.1.block.3.1.bias;bias;(80,);80;16;160;9.130551800843928e-05;5.66590885320295e-10;9.630405256411491e-10;5.66590885320295e-10;9.630405256411491e-10;162;0,9876543209876544;-1.2499999999999956;16,2;True
6.575999977939534e-05;2.6279999656253494e-05;780374016,0;780376473,6;17203,2;19660,8;features.4.1.block.3.1.weight;weight;(80,);80;8;80;0,0409594084651318;0,00011700426694;0,0002260290577592;0,00011700426694;0,0002260290577592;76;1,0526315789473684;4,999999999999993;7,6;True
6.071999960113317e-05;3.5460000071907415e-05;780377292,8;780377292,8;6553,6;20480,0;features.4.1.block.3.1.weight;weight;(80,);80;16;160;0,0001757538778783;2.123450748570121e-09;4.102086055916706e-09;2.123450748570121e-09;4.102086055916706e-09;162;0,9876543209876544;-1.2499999999999956;16,2;True
0,0118747000000439;0,0031965999998646395;780375654,4;780374835,2;18841,6;18022,4;features.4.2.block.0.0.weight;weight;(480, 80, 1, 1);38400;8;38400;0,00390625;1.2771150750268134e-06;0,0001764595844118;2.036790419879253e-06;0,000281424280438;31597;1,215305250498465;17,71614583333333;6,582708333333334;True
0,013891459999285819;0,0035908800000470005;780376473,6;780376473,6;19660,8;19660,8;features.4.2.block.0.0.weight;weight;(480, 80, 1, 1);38400;16;76800;0,00390625;1.2771150750268134e-06;0,0001764595844118;1.2771150750268134e-06;0,0001764595844118;31605;2,42999525391552;58,84765624999999;6,584375;True
0,00016202000042534;7.094000029608314e-05;780377292,8;780376473,6;20480,0;19660,8;features.4.2.block.0.1.bias;bias;(480,);480;8;480;0,0490386243118754;0,0001958331413334;0,0001531229770252;0,0001958331413334;0,0001531229770252;407;1,1793611793611791;15,208333333333336;6,783333333333333;True
0,00040122000027618;9.102000003620981e-05;780377292,8;780377292,8;20480,0;20480,0;features.4.2.block.0.1.bias;bias;(480,);480;16;960;0,0001957162109243;2.9185949212973132e-09;2.2820649254614317e-09;2.9185949212973132e-09;2.2820649254614317e-09;904;1,0619469026548674;5,833333333333346;15,066666666666666;True
0,00019247999989598;6.921999956829684e-05;780376473,6;780374835,2;19660,8;18022,4;features.4.2.block.0.1.weight;weight;(480,);480;8;480;0,0215330449966103;3.735125210369006e-05;9.69336880809795e-05;3.735125210369006e-05;9.69336880809795e-05;435;1,103448275862069;9,375;7,25;True
